"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option1 Linked To","Option2 Name","Option2 Value","Option2 Linked To","Option3 Name","Option3 Value","Option3 Linked To","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Unit Price Total Measure","Unit Price Total Measure Unit","Unit Price Base Measure","Unit Price Base Measure Unit","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Google: Custom Product (product.metafields.mm-google-shopping.custom_product)","Product rating count (product.metafields.reviews.rating_count)","Accessory size (product.metafields.shopify.accessory-size)","Animal type (product.metafields.shopify.animal-type)","Care instructions (product.metafields.shopify.care-instructions)","Color (product.metafields.shopify.color-pattern)","Fabric (product.metafields.shopify.fabric)","Pet control accessory features (product.metafields.shopify.pet-control-accessory-features)","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Status"
"the-walter-dog-collar","The Walter Dog Collar","<p><meta charset=""UTF-8""> <meta name=""viewport"" content=""width=device-width, initial-scale=1.0""></p>
<style>
        body {
            font-family: Arial, sans-serif;
            line-height: 1.6;
            color: #333;
            max-width: 800px;
            margin: 20px auto;
            padding: 20px;
        }
        h1, h2 {
            color: #444;
        }
        ul {
            list-style: disc;
            margin-left: 20px;
        }
        a {
            color: #0073e6;
            text-decoration: none;
        }
        a:hover {
            text-decoration: underline;
        }
    </style>
<h1 style=""text-align: center;"">The Walter Dog Collar – A Stylish &amp; Durable Take on the Classic Hound Collar</h1>
<p style=""text-align: center;"">Designed for <strong>comfort, durability, and timeless style</strong>, <strong>The Walter Dog Collar</strong> is our modern take on the <strong>classic hound collar</strong>. Featuring a <strong>stepped design</strong> that provides a <strong>secure and comfortable fit</strong>, this collar is perfect for <strong>sighthounds and other breeds with slender necks</strong>. Crafted from <strong>abrasion-resistant, zero-stretch PVC-coated webbing</strong>, it is <strong>100% water and bacteria resistant</strong>, ensuring long-lasting performance in any weather. Choose your <strong>two-tone colour combination</strong> and <strong>metal hardware</strong> to create a collar as unique as your dog. The <strong>strong metal buckle</strong> ensures a <strong>secure fastening</strong>, while the <strong>back D-ring</strong> provides a <strong>reliable lead attachment point</strong>. <strong>Custom-sized for the perfect fit</strong>, The Walter Dog Collar is built for everyday walks and grand adventures alike.</p>
<h2 style=""text-align: center;"">Why You’ll Love The Walter Dog Collar</h2>
<ul>
<li>
<strong>Classic Stepped Hound Collar Design</strong> – Provides <strong>extra support and comfort</strong>, making it perfect for dogs with slender necks.</li>
<li>
<strong>Custom Two-Tone Colourway &amp; Metal Hardware</strong> – Choose your own <strong>colour combination and metal hardware</strong> to match your dog’s style.</li>
<li>
<strong>Strong Metal Buckle &amp; Hardware</strong> – Ensures a <strong>secure and long-lasting fastening</strong>, built for durability.</li>
<li>
<strong>100% Water &amp; Bacteria Resistant PVC-Coated Webbing</strong> – Easy to clean, <strong>odour-resistant, and built for all-weather adventures</strong>.</li>
<li>
<strong>Custom Fit for Maximum Comfort</strong> – Each collar is <strong>tailored to your dog’s exact size</strong>, ensuring the <strong>perfect fit and security</strong>.</li>
</ul>
<h2 style=""text-align: center;"">Who Is It For &amp; How to Use</h2>
<p style=""text-align: center;"">The <strong>Walter Dog Collar</strong> is perfect for <strong>hound breeds</strong> such as <strong>Greyhounds, Whippets, Salukis, and Lurchers</strong>, as well as any dog that benefits from <strong>a wider, stepped collar design</strong>. Its <strong>secure fit and durable materials</strong> make it an excellent choice for <strong>daily walks, training, and outdoor adventures</strong>. Simply attach your lead to the <strong>back D-ring</strong> for <strong>safe and controlled walks</strong>, and add an <strong>ID tag</strong> to ensure your dog is always identifiable.</p>
<p style=""text-align: center;"">For the perfect fit, check out our <a rel=""noopener"" title=""Materials and Measurements Guide"" href=""https://www.willabean.co.uk/pages/measurement-guide"" target=""_blank"">Materials and Measurements Guide</a> to learn how to measure your dog’s neck before ordering.</p>
<p style=""text-align: center;""><span style=""box-sizing: border-box; margin: 0px; padding: 0px;""><strong>Please note:</strong> While our gear is tough, it’s not chew-proof! If your pup turns their collar or lead into a snack, we unfortunately can’t be held responsible.</span></p>","My Store","Animals & Pet Supplies > Pet Supplies > Pet Collars & Harnesses","","Collar, Hound-Style, Two Tone, Walter","true","Fastening","Buckle","","","","","","","","","0.0","shopify","-1","continue","manual","22.00","","TRUE","TRUE","","","","","","https://cdn.shopify.com/s/files/1/0921/1890/9268/files/6_406d9aa0-a805-474b-a0a7-9745cfc3ef8b.png?v=1760929827","1","willabean dogleads dogcollars winnieclaspdogcollar winniedoglead hugodogcollar hugodoglead","false","","The Walter Dog Collar – stylish, durable, and secure with a stepped design, custom colours, and metal hardware. Perfect for sighthounds and active dogs.","6250","","","","","","","","","","","","","","","","","","","","lb","","","active"
"the-walter-dog-collar","","","","","","","","Fastening","Clasp","","","","","","","","","","shopify","","continue","manual","23.00","","TRUE","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","active"
"the-walter-dog-collar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0921/1890/9268/files/Water_Dog_Collar_and_Lead.jpg?v=1760892414","2","#willabean #dogleads #dogcollars #winnieclaspdogcollar #winniedoglead #hugodogcollar #hugodoglead","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"the-walter-dog-collar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0921/1890/9268/files/waltercollar2.jpg?v=1760892414","3","#willabean #dogleads #dogcollars #winnieclaspdogcollar #winniedoglead #hugodogcollar #hugodoglead","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"the-walter-dog-collar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0921/1890/9268/files/Walter_Dog_Collar.jpg?v=1760892414","4","#willabean #dogleads #dogcollars #winnieclaspdogcollar #winniedoglead #hugodogcollar #hugodoglead","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"the-walter-dog-collar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0921/1890/9268/files/Walter_Dog_Collar1.jpg?v=1760892414","5","#willabean #dogleads #dogcollars #winnieclaspdogcollar #winniedoglead #hugodogcollar #hugodoglead","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"the-winnie-dog-collar","The Winnie Dog Collar","<p><meta charset=""UTF-8""> <meta name=""viewport"" content=""width=device-width, initial-scale=1.0""></p>
<style>
        body {
            font-family: Arial, sans-serif;
            line-height: 1.6;
            color: #333;
            max-width: 800px;
            margin: 20px auto;
            padding: 20px;
        }
        h1, h2 {
            color: #444;
        }
        ul {
            list-style: disc;
            margin-left: 20px;
        }
        a {
            color: #0073e6;
            text-decoration: none;
        }
        a:hover {
            text-decoration: underline;
        }
    </style>
<h1 style=""text-align: center;"">The Winnie Dog Collar – Durable, Stylish, and Practical for Your Dog</h1>
<p style=""text-align: center;"">The <strong>Winnie Dog Collar</strong> is the perfect blend of <strong>style, durability</strong>, and <strong>functionality</strong>. Crafted with <strong>abrasion-resistant webbing</strong>, this collar is designed to withstand the toughest outdoor adventures while maintaining a sleek, clean look. Choose from a <strong>two-tone colourway</strong> and <strong>metal hardware</strong> to match your dog’s personality, while enjoying the peace of mind that comes with <strong>water and bacteria-resistant webbing</strong>. The <strong>metal buckle</strong> ensures a secure fit, and the <strong>back D-ring</strong> provides a solid attachment point for leads or identification tags. Ideal for dogs of all sizes, this collar is custom-sized for the perfect fit, making it a must-have accessory for every dog owner.</p>
<h2 style=""text-align: center;"">Why You’ll Love The Winnie Dog Collar</h2>
<ul>
<li>
<strong>Custom Two-Tone Colourway &amp; Metal Hardware</strong> – Select the perfect combination of colour and hardware to match your dog’s unique style.</li>
<li>
<strong>Strong Metal Buckle</strong> – Offers a <strong>secure and reliable fastening</strong>, ensuring your dog’s collar stays in place throughout any adventure.</li>
<li>
<strong>Abrasion-Resistant Webbing</strong> – Made with tough, durable materials to withstand <strong>daily wear and tear</strong>, keeping your dog safe and stylish.</li>
<li>
<strong>100% Water &amp; Bacteria Resistant</strong> – <strong>Easy to clean</strong>, this collar won’t absorb moisture or bacteria, keeping it fresh and hygienic no matter the weather.</li>
<li>
<strong>Custom Size for Perfect Fit</strong> – Each collar is made to fit your dog’s neck precisely, ensuring <strong>maximum comfort</strong> and <strong>security</strong>.</li>
</ul>
<h2 style=""text-align: center;"">Who Is It For &amp; How to Use</h2>
<p style=""text-align: center;"">The <strong>Winnie Dog Collar</strong> is perfect for dog owners who want a <strong>stylish, durable, and easy-to-maintain collar</strong>. Whether you're walking your dog through the city streets or heading out for an outdoor adventure, this collar provides a secure attachment point for your dog’s lead and <strong>identification tags</strong>, keeping them safe and identifiable. Simply attach the lead to the <strong>back D-ring</strong> for a controlled and guided walk, and rest assured your dog is wearing a collar designed to last.</p>
<p style=""text-align: center;"">To ensure the best fit, check out our <a rel=""noopener"" title=""Materials and Measurements Guide"" href=""https://www.willabean.co.uk/pages/measurement-guide"" target=""_blank"">Materials and Measurements Guide</a> for tips on how to measure your dog’s neck accurately before placing your order.</p>
<p style=""text-align: center;""><span style=""box-sizing: border-box; margin: 0px; padding: 0px;""><strong>Please note:</strong> While our gear is tough, it’s not chew-proof! If your pup turns their collar or lead into a snack, we unfortunately can’t be held responsible.</span></p>","My Store","Animals & Pet Supplies > Pet Supplies > Pet Collars & Harnesses","","Collar, D Ring, Solid Colour, Winnie","true","Width","16mm","","Fastening","Buckle","","","","","","0.0","shopify","0","continue","manual","22.00","","TRUE","TRUE","","","","","","https://cdn.shopify.com/s/files/1/0921/1890/9268/files/11_1d8471fb-c53b-45e4-9bf7-e76ca664bd9b.png?v=1760929826","1","willabean dogleads dogcollars winnieclaspdogcollar winniedoglead hugodogcollar hugodoglead","false","The Winnie Dog Collar","The Winnie Dog Collar – customisable, durable, water-resistant, and stylish with a secure metal buckle and back D-ring. Perfect for everyday walks and adventures.","6250","","","","","","","","","","","","","","","","","","","","lb","","","active"
"the-winnie-dog-collar","","","","","","","","Width","16mm","","Fastening","Clasp","","","","","","","shopify","","continue","manual","23.00","","TRUE","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","active"
"the-winnie-dog-collar","","","","","","","","Width","20mm","","Fastening","Buckle","","","","","","","shopify","","continue","manual","26.00","","TRUE","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","active"
"the-winnie-dog-collar","","","","","","","","Width","20mm","","Fastening","Clasp","","","","","","","shopify","","continue","manual","27.00","","TRUE","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","active"
"the-winnie-dog-collar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0921/1890/9268/files/IMG_0022.jpg?v=1760892433","2","willabean dogleads dogcollars winnieclaspdogcollar winniedoglead hugodogcollar hugodoglead","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"the-winnie-dog-collar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0921/1890/9268/files/winniecollar.jpg?v=1760892433","3","#willabean #dogleads #dogcollars #winnieclaspdogcollar #winniedoglead #hugodogcollar #hugodoglead","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"the-winnie-dog-collar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0921/1890/9268/files/winniecollar2.jpg?v=1760892433","4","#willabean #dogleads #dogcollars #winnieclaspdogcollar #winniedoglead #hugodogcollar #hugodoglead","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"the-winnie-dog-collar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://cdn.shopify.com/s/files/1/0921/1890/9268/files/winniecollar3.jpg?v=1760892433","5","#willabean #dogleads #dogcollars #winnieclaspdogcollar #winniedoglead #hugodogcollar #hugodoglead","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"the-mabel-dog-collar","The Mabel Dog Collar","<p><meta charset=""UTF-8""> <meta name=""viewport"" content=""width=device-width, initial-scale=1.0""></p>
<style>
        body {
            font-family: Arial, sans-serif;
            line-height: 1.6;
            color: #333;
            max-width: 800px;
            margin: 20px auto;
            padding: 20px;
        }
        h1, h2 {
            color: #444;
        }
        ul {
            list-style: disc;
            margin-left: 20px;
        }
        a {
            color: #0073e6;
            text-decoration: none;
        }
        a:hover {
            text-decoration: underline;
        }
    </style>
<h1 style=""text-align: center;"">The Mabel Dog Collar – Stylish, Durable, and Perfect for Your Dog</h1>
<p style=""text-align: center;"">The <strong>Mabel Dog Collar</strong> is a perfect mix of elegance, durability, and practicality. Featuring a <strong>half and half two-tone colourway</strong> of your choice, this collar will give your dog a standout, stylish look. Crafted with <strong>abrasion-resistant PVC-coated webbing</strong>, the collar is made to last and will stay looking fresh even in challenging environments. Whether you're heading out for a walk, an adventure, or just enjoying some playtime in the park, the collar offers a secure attachment point for your dog's lead, and provides space for <strong>identification tags</strong> for safety. The <strong>metal hardware</strong> and <strong>metal buckle</strong> ensure a secure fit, while the <strong>back D-ring</strong> makes it easy to attach the lead for walks. Plus, the collar is <strong>custom-sized</strong> to ensure maximum comfort for your dog.</p>
<h2 style=""text-align: center;"">Why You’ll Love The Mabel Dog Collar</h2>
<ul>
<li>
<strong>Half and Half Two-Tone Colourway &amp; Custom Metal Hardware</strong> – Personalise your collar with the colour and metal hardware that best suits your dog’s style and personality.</li>
<li>
<strong>Abrasion-Resistant PVC-Coated Webbing</strong> – Durable, tough material that can withstand daily wear and tear, keeping your dog safe and stylish for years.</li>
<li>
<strong>100% Water &amp; Bacteria Resistant</strong> – Whether it's rainy or muddy, this collar won't absorb moisture or bacteria, ensuring it stays fresh and hygienic.</li>
<li>
<strong>Zero Stretch Webbing</strong> – No risk of loosening or stretching, ensuring the collar remains securely in place during walks, play, and other activities.</li>
<li>
<strong>Custom Size &amp; Available in 2 Widths</strong> – Get the perfect fit for your dog with a collar tailored to their measurements, available in two widths for added versatility.</li>
</ul>
<h2 style=""text-align: center;"">Who Is It For &amp; How to Use</h2>
<p style=""text-align: center;"">The <strong>Mabel Dog Collar</strong> is ideal for dog owners who want a stylish and durable collar that stands up to the demands of daily wear. Whether you're taking your dog for a casual walk around the block or embarking on an outdoor adventure, the <strong>Mabel Dog Collar</strong> provides a reliable <strong>attachment point</strong> for your dog’s lead, helping to control and guide them with ease. You can also use the collar to display <strong>identification tags</strong> with your dog's name and contact information, offering peace of mind in case your dog gets lost.</p>
<p style=""text-align: center;"">Make sure you measure your dog’s neck correctly to get the perfect fit. For guidance, check out our <a rel=""noopener"" title=""Materials and Measurements Guide"" href=""https://www.willabean.co.uk/pages/measurement-guide"" target=""_blank"">Materials and Measurements Guide</a>, where we provide detailed instructions to help you choose the right size for your dog.</p>
<p style=""text-align: center;""><span style=""box-sizing: border-box; margin: 0px; padding: 0px;""><strong>Please note:</strong> While our gear is tough, it’s not chew-proof! If your pup turns their collar or lead into a snack, we unfortunately can’t be held responsible.</span></p>","My Store","Animals & Pet Supplies > Pet Supplies > Pet Collars & Harnesses","","","true","Width","16mm","","Fastening","Buckle","","","","","","0.0","shopify","0","continue","manual","24.00","","TRUE","TRUE","","","","","","https://cdn.shopify.com/s/files/1/0921/1890/9268/files/4_62749621-9d03-4940-8603-f88cfe776a3b.png?v=1760929826","1","willabean dogleads dogcollars winnieclaspdogcollar winniedoglead hugodogcollar hugodoglead","false","","The Mabel Dog Collar: stylish, durable, water-resistant, and customisable with metal hardware. Perfect for daily walks and displaying identification tags.","6250","","","","","","","","","","","","","","","","","","","","lb","","","active"
"the-mabel-dog-collar","","","","","","","","Width","16mm","","Fastening","Clasp","","","","","","","shopify","","continue","manual","25.00","","TRUE","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","active"
"the-mabel-dog-collar","","","","","","","","Width","20mm","","Fastening","Buckle","","","","","","","shopify","","continue","manual","28.00","","TRUE","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","active"
"the-mabel-dog-collar","","","","","","","","Width","20mm","","Fastening","Clasp","","","","","","","shopify","","continue","manual","29.00","","TRUE","TRUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","active"
